1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
761	Minek a jelzésére alkalmazzák tavon az ábrán látható úszó jeleket?	Kiköt? bejáratához vezet? csatorna kit?zésére a tó fel?l nézve.	"Tiltott, hajózástól elzárt parti zóna bejárata a tó fel?l nézve."	"Meghatározott rendeltetés? területet (pl. vízi sportpályát, horgonyzóhelyet stb.) bejárata a tó fel?l nézve."	xxx-0501.jpg	1
762	Hol alkalmazzák tavon éjszaka a balról vörös jobbról zöld villanó fénnyel ellátott úszó jeleket?	Kiköt? bejáratához vezet? csatorna kit?zésére a tó fel?l nézve.	"Tiltott, hajózástól elzárt parti zóna bejárata a tó fel?l nézve."	"Meghatározott rendeltetés? területet (pl. vízi sportpályát, horgonyzóhelyet stb.) bejárata a tó fel?l nézve."	xxx-0504.jpg	1
763	Mit jelent a hajón látható csúcsával lefelé néz? kék kúp? A hajó	egészségre ártalmas árut szállít.	robbanásveszélyes árut szállít.	gyúlékony árut szállít.	teszt-0795.jpg	3
764	Mit jelöl a hajón látható 2 db kék kúp?	A két kék kúp a radioaktív anyagot szállító hajó nappali megkülönböztet? jelzése.	Többféle (folyékony és darab) árut szállító hajó megkülönböztet? jelzése.	A két kék kúp az egészségre ártalmas árut szállító hajó nappali megkülönböztet? jelzése.	teszt-0799.jpg	3
765	Mit jelöl a hajón látható három kék kúp? A három kék kúp	a radioaktív anyagot szállító hajó nappali megkülönböztet? jelzése.	többféle (folyékony és darab) árut szállító hajó megkülönböztet? jelzése.	a robbanásveszélyes árut szállító hajó nappali megkülönböztet? jelzése.	teszt-0915.jpg	3
766	"Mire következtet, ha egy hajón 1 db fekete gömböt lát nappal?"	Nyílt helyen vesztegl? magányos hajó.	A hajó m?veletképességében korlátozott.	A hajó vészjelzést ad.		1
767	"Válassza ki, hogy az ábrán látható jelz?eszközök közül melyiket, mennyit és hogyan lehet elhelyezni egy m?veletképességében korlátozott hajón nappal? Függ?leges vonalban"	"2 db 3 és 1 db 1 úgy, hogy a legfels? és a legalsó gömb, míg a középs? henger."	"2 db 4 és 1 db 3 úgy, hogy a legfels? és a legalsó kett?s kúp, míg a középs? gömb."	"2 db 3 és 1 db 4 úgy, hogy a legfels? és a legalsó gömb, míg a középs? kett?s kúp."	teszt-1459.jpg	3
768	"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható jelzéseket észleli? Hogyan hajózik el mellette? Menetben lév?"	man?verképességében korlátozott hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldalon lehetséges.	hullámzás elleni védelemre szoruló hajó. Az elhajózás mindkét oldalon lehetséges.	kormányképtelen hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldallal ellentétes oldalon lehetséges.	xxx-3680.jpg	2
769	Mit jelent a hajón látható zöld lobogó?	A menetrend szerinti forgalomban közleked? személyhajó kiköt? térségében más hajótól közlekedésének el?segítését kéri.	"A személyhajó csak díszként viseli a zöld lobogót, annak nincs jelentése."	"A zöld lobogóval els?bbséget kér kikötéskor, más személyhajóktól."	xxx-2387.jpg	1
770	Állapítsa meg milyen menetben lév? úszólétesítmény(ek) fényei láthatók az ábrán?	"110 méter hosszúságot, illetve 12 méter szélességet meghaladó egyoszlopos tolt kötelék bal oldalát mutatja."	"Két egymás elé csatolt, 110 méter hosszúságot, illetve 12 méter szélességet meghaladó géphajó."	"110 méter hosszúságot, illetve 12 méter szélességet meghaladó többoszlopos tolt kötelék bal oldalát mutatja."	xxx-3562.jpg	1
771	"Milyen fényeket kell viselnie a menetben, a 7 m hosszúságot elér? kisgéphajónak az alábbiak közül?"	"Árbocfényt lehet?leg 1 m-rel az oldalfények felett, oldalfényeket, egy fehér farfényt."	Egy minden oldalról látható fehér fényt.	"Árbocfényt az oldalfények alatt, oldalfényeket, egy fehér farfényt."	xxx-3568.jpg	1
772	"Milyen fényeket kell viselnie a menetben, a 7 m hosszúságot elér? kisgéphajónak az alábbiak közül?"	Egy minden oldalról látható fehér fényt.	"Árbocfényt, lehet?leg 1 m-rel az oldalfények felett, oldalfényeket egymás mellett a hajó orrán vagy annak közelében, egy fehér farfényt."	"Árbocfényt az oldalfények alatt, oldalfények, egy fehér farfényt."	xxx-3520.jpg	2
773	Milyen fényt vagy fényeket viselhet a 7 méternél rövidebb kisgéphajónak éjszaka menetben?	"Árbocfényt legalább 1 m-rel az oldalfények felett, oldalfényeket a hajó széls? pontjain."	Egy minden oldalról látható fehér fényt.	"Árbocfényt az oldalfények alatt, oldalfényeket a hajó széls? pontjain, egy fehér farfényt."	xxx-1005.jpg	2
774	Milyen fényeket viselhetnek éjszaka menetben a kizárólag kishajókból álló vontatott kötelék kishajói?	"Kisgéphajónak minden oldalról látható fehér fényt (az árbocfény helyén az árboc és farfény helyett) oldalfényeket, a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható fehér fényt."	"Kisgéphajónak árbocfényt, oldalfényeket és farfényt (amelyek összevonhatók az árbocfény felett), a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható sárga fényt."	"Kisgéphajónak árbocfényt (lehet?leg 1 m-rel az oldalfények felett), oldalfényeket és egy sárga farfényt, a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható fehér fényt."	xxx-3574.jpg	1
775	Milyen fényeket kell viselnie éjszaka menetben a kizárólag kishajókból álló mellévett alakzat kishajóinak?	A kisgéphajónak és a továbbított kishajónak vagy kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.	"Kisgéphajónak árbocfényt (lehet?leg 1 m-rel az oldalfények felett), oldalfényeket és egy sárga farfényt, a továbbított kishajónak vagy kishajók mindegyikének egy-egy minden oldalról látható fehér fényt."	"Kisgéphajónak árbocfényt (lehet?leg 1 m-rel az oldalfények felett), oldalfényeket és egy fehér farfényt, a továbbított kishajónak vagy a továbbított kishajók mindegyikének egy-egy minden oldalról látható fehér fényt."	xxx-3575.jpg	3
776	Milyen hajó közeledésére számít az ábrán látható fényeket észleve?	Vitorlás hajó (ami nem kishajó) a jobb oldalát mutatja.	Vitorla mellett gépi er?t is használó vitorlás hajó jobb oldalát mutatja.	Vitorlás kishajó a jobb oldalát mutatja.	xxx-3503.jpg	3
777	Milyen hajó közeledésére számít az ábrán látható fényeket észleve?	Vitorla mellett gépi er?t is használó vitorlás hajó bal oldalát mutatja.	Vitorlás hajó (ami nem kishajó bal oldalát mutatja.	Vitorlás kishajó bal oldalát mutatja.	teszt-2416.jpg	3
778	"Milyen hajót lát, ha annak árboc csúcsán egy fehér fényt és egy felmutatott fehér fényt is észlel?"	"7 méternél kisebb testhosszúságú, vitorlával haladó kishajó."	Veszélyben lév? vitorlás kishajó.	"Legalább 7 méter hosszúságú, saját gépi er?t is használó vitorlás kishajó."	teszt-2464.jpg	1
779	"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?"	Vitorlás hajó (ami nem kishajó) a bal oldalát mutatja.	Vitorla mellett gépi er?t is használó vitorlás kishajó.	Vitorlás kishajó a bal oldalát mutatja.	teszt-2373.jpg	2
780	"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?"	"Vitorlával haladó 20 méternél kisebb testhosszúságú, 12 f?nél több utas szállítására engedéllyel rendelkez? hajó."	Vitorlával haladó kishajónak nem tekinthet? hajó.	Vitorla mellett saját gépi er?t is használó kishajó.	teszt-2502.jpg	3
781	"Milyen hajó közeledésére számít, ha annak mells? részén az ábrán látható fényeket észleli?"	Vitorlával haladó kishajó.	Vitorla mellett saját gépi er?t is használó kishajó.	Kishajónak nem tekinthet? vitorlás hajó.	xxx-2711.jpg	1
782	"Milyen hajó közeledésére számít, ha azon az ábrán látható fényeket észleli?"	Vitorlával haladó kishajó.	Vitorla mellett saját gépi er?t is használó kishajó.	Kishajónak nem tekinthet? vitorlás hajó.	teszt-1899.jpg	1
783	"Milyen vízi járm? közeledésére számít, ha arról egy fehér fényt mutatnak fel?"	7 méternél kisebb testhosszúságú vitorlával haladó kishajóra.	"Egy olyan csónak, amely vitorlával halad, vagy vitorla mellett gépi er?t is használ, esetleg evez?vel hajtják."	Saját gépi er?t is használó vitorlás kishajó.	xxx-2715.jpg	2
784	"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?"	Vitorlával haladó kishajó.	Vitorlával haladó kishajónak nem tekinthet? hajó.	Vitorla mellett saját gépi er?t is használó kishajó.	teszt-1891.jpg	3
785	"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?"	7 méternél kisebb testhosszúságú vitorlával haladó kishajóra.	"Kishajónak nem tekinthet? olyan hajó, amely vitorla mellett gépi er?t is használ."	7 méternél kisebb testhosszúságú vitorla mellett saját gépi er?t is használó kishajó.	xxx-2703.jpg	3
786	"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?"	Vitorlával haladó kishajó.	Vitorla mellett saját gépi er?t is használó kishajó.	Vitorla mellett saját gépi er?t is használó kishajónak nem tekinthet? hajó.	xxx-2348.jpg	3
787	"Milyen hajó közeledésére számít, ha azon az ábrán látható (árboc-, oldal- és két felül vörös, alatta fehér) fényeket észleli"	"Víziúton munkát vagy szondázást, illetve mérést végz? menetben lév? géphajó."	Menetben lév? hullámzás elleni védelemre szoruló géphajó.	Menetben lév? kormányképtelen géphajó vagy révkalauzi szolgálatot ellátó hajó.	xxx-3725.jpg	2
788	"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lév?"	7 méternél hosszabb testhosszúságú vitorlás hajó szemb?l.	110 méter hosszúságot meg nem haladó géphajó szemb?l.	"olyan kishajónak nem tekinthet? hajókból álló mellévett alakzat, amelynek a szélessége meghaladja a 12 métert szemb?l."	xxx-0815.jpg	2
789	"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lév?"	110 méter hosszúságot meghaladó géphajó jobb oldalát mutatja.	kishajónak nem tekinthet? vitorlás hajó jobb oldalát mutatja.	110 méter hosszúságot meg nem haladó géphajó jobb oldalát mutatja.	xxx-0816.jpg	3
790	"Milyen úszólétesítmény(ek) közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lév?"	kishajónak nem tekinthet? géphajó jobb oldalát mutatja.	kishajónak nem tekinthet? géphajó bal oldalát mutatja.	"két kishajónak nem tekinthet? hajóból álló, 110 méter hosszt, illetve 12 méter szélességet meg nem haladó méret? mellévett alakzat bal oldalát mutatja."	teszt-0684.jpg	2
791	"Milyen úszólétesítmény(ek) közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lév?"	"olyan tolt kötelék szemb?l, amelynek a legnagyobb hosszúsága a 110 métert, szelessége pedig a 12 métert nem haladja meg."	110 méter hosszúságot meg nem haladó géphajó szemb?l.	egyoszlopos tolt kötelék szemb?l.	teszt-0778.jpg	3
792	"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lév?"	szabadon közleked? komp szemb?l.	m?veletképtelen hajó jobb oldalát mutatva.	kishajónak nem tekinthet? vitorlás hajó szemb?l.	xxx-0970.jpg	3
793	"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lév?"	vitorlás kishajó szemb?l.	kishajónak nem tekintet? vitorlás hajó szemb?l.	két vitorlás kishajó oldalról.	xxx-0975.jpg	2
794	"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lév?"	halászati tevékenységet végz? hajó jobb oldalát mutatva.	két vitorlás kishajó jobb oldalát mutatva.	kishajónak nem tekintet? vitorlás hajó jobb oldalát mutatva.	xxx-0977.jpg	3
795	"Milyen úszólétesítményre számíthat, ha az ábrán látható fényeket észleli?"	"Gyorsjáratú hajó, amely els?bbségi jelzését használja."	"Menetben lév? szabadon közleked? kompra, vagy valamilyen halászati tevékenységet végz? 50 méternél hosszabb hajó."	"Menetben lév? szabadon közleked? komp, vagy 50 méternél kisebb hosszúságú vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó."	xxx-0721.jpg	3
796	Milyen hajóra számíthat egy zöld fényt észlelve?	Vitorlás hajó jobb oldalát mutatja.	Vitorlás hajó bal oldalát mutatja.	7 méternél kisebb vitorlás kishajó szemb?l.	xxx-1469.jpg	1
797	"Milyen hajót tud azonosítani, ha azon a rajzon látható jelz?testeket (két fekete gömb és egy sárga kett?skúp) látja?"	"M?veletképtelen, 20 méternél rövidebb 12 f?nél több utas szállítására engedéllyel rendelkez? hajó."	"Mellette való elhaladás tilalmát jelz?, 20 méternél rövidebb 12 f?nél több utas szállítására engedéllyel rendelkez? hajó."	"Man?verképességében korlátozott, 20 méternél rövidebb 12 f?nél több utas szállítására engedéllyel rendelkez? hajó."	xxx-3590.jpg	1
798	Milyen kötelezettség hárul a kishajó vezet?jére induláskor az alábbiak közül?	Indulás el?tt köteles különös figyelmet fordítani a hajó melletti vízterületekre (látási holttér).	Indulási szándékára szükség esetén hangos kiáltással köteles figyelmeztetni a többi kishajót.	Indulási szándékára szükség esetén egy rövid hangjellel köteles figyelmeztetni a többi kishajót.		1
799	"Folytassa a mondatot! Kishajóval parttól vagy kiköt?helyr?l elindulni, és menetirányt változtatni"	"csak csökkentett sebességgel, és a partra mer?legesen szabad."	"csak akkor szabad, ha az a víziközlekedés más résztvev?it nem akadályozza."	"csak akkor szabad, ha az a vízi közlekedés más résztvev?it nem zavarja, és vízben tartózkodó személyt nem veszélyeztet."		3
800	"Milyen el?írás vonatkozik vitorlával haladó kishajó, valamint evez?vel hajtott kishajó közlekedésére vízben tartózkodó személy közelében? Mentés kivételével"	"legalább 10 m távolságban úgy kell kikerülni, hogy az a vízijárm?, és a legközelebbi part között maradjon."	"úgy kell kikerülni, hogy az a vízijárm?, és a legközelebbi part között maradjon."	legalább 20 m távolságban kell kikerülni.	xxx-3940.jpg	1
801	Milyen el?írás vonatkozik evez?vel hajtott kishajó közlekedésére vízben tartózkodó személy közelében? A vízben tartózkodót a vízijárm? közeledésére	"szükség esetén hangjelzéssel is figyelmeztetni kell és a sebességet olyan mértékre kell csökkenteni, hogy az ne okozzon m?veletezési nehézséget."	"szükség esetén kiáltással is figyelmeztetni kell és a sebességet olyan mértékre kell csökkenteni, hogy az ne okozzon hullámzást a vízben tartózkodó közelében."	kiáltással is figyelmeztetni kell és a sebességet a kormányképesség mértékéig kell csökkenteni.	xxx-3943.jpg	2
802	Milyen el?írás vonatkozik gépi er?vel haladó kishajó közlekedésére vízben tartózkodó személy közelében? Mentés kivételével	"30 m távolságban úgy kell elhaladni mellette, hogy a vízben lév? személy a közelebbi part vagy az ?t kísér? vízijárm? között maradjon."	"10 m távolságban csökkentett sebességgel úgy kell elhaladni mellette, hogy hullámkeltéssel ne veszélyeztessük."	vízben lév? személyt minden esetben legalább 20 méter távolság megtartásával jobbról kell kerülni.		1
803	"Milyen el?írás vonatkozik gépi er?vel haladó kishajó vízben tartózkodó személy közelében történ? elhaladására, ha az el?írt 30 méteres távolság a vízterület méretei miatt nem tartható?"	A vízben tartózkodó körüli 30 m sugarú kör területén legfeljebb 5 km/h sebességgel szabad elhaladni a vízben tartózkodó zavarása nélkül.	"Meg kell állni, amíg a vízben lév? személy legalább 30 méter távolságra eltávolodik."	A vízben tartózkodó körüli 10 m sugarú kör területén legfeljebb 10 km/h sebességgel szabad elhaladni a vízben tartózkodó zavarása nélkül.	xxx-3946.jpg	1
804	"Mikor engedhet? meg kishajók, csónakok és vízi sporteszközök egymás közötti találkozása vagy el?zése? A találkozás vagy el?zés akkor megengedett, ha"	"a víziút valamennyi helyi körülményt, és más hajók mozgását is figyelembe véve kétséget kizáróan elegend? az egyidej? áthaladásához."	"a hajóút szélessége valamennyi helyi körülményt, és más hajók mozgását is figyelembe véve kétséget kizáróan elegend? az egyidej? áthaladásához."	az nyilvánvalóan veszély nélkül végrehajtható.		2
